Year,Film,Studio,RottenTomatoes,AudienceScore,Story,Genre,Budget,CinemasOpenWeek,AverageOpenWeek,OpeningWeekend,DomesticGross,ForeignGross,WorldwideGross,Oscar,Bafta
2010,Death at a Funeral,Independent,40,48,Comedy,Comedy,21,2459,6595,16.2,42.74,6.31,49.05,none,none
2011,Winnie The Pooh,Disney,91,79,Quest,Animation,30,2405,3267,7.86,26.692,6.46,33.152,none,none
2009,The Soloist,Paramount,56,59,Quest,Drama,60,2024,4801,9.7,31.7,6.612,38.312,none,none
2010,Leap Year,Universal,21,49,Love,Comedy,19,2511,3665,9.2,25.918,6.69,32.608,none,none
2009,Imagine That,Paramount,38,44,Comedy,Comedy,55,3008,1830,5.5,16.12,6.86,22.99,none,none
2009,Armored,Sony,40,34,Temptation,Action,20,1915,3400,6.5,15.988,6.953,16,none,none
2009,Bandslam,Summit Entertainment,79,60,Maturation,Comedy,20,2121,1052,2.2,5.2,7.014,12.1,none,none
2010,Never Let Me Go,Independent,70,70,Tragedy,Drama,15,4,NA,0.11,2.43,7.02,9.45,none,none
2009,Everybody's Fine,Miramax,46,55,Discovery,Drama,21,2133,1806,3.9,9.2,7.2,16.4,none,none
2010,Winter's Bone,Independent,94,73,Quest,Drama,2,NA,NA,0.8,6.531,7.3,13.831,none,none
2009,A Perfect Getaway,Universal,61,50,Escape,Mystery,14,2159,2755,5.9,15.5,7.33,22.83,none,none
2009,Notorious,20th Century Fox,50,66,Tragedy,Biography,20,1638,12514,20.5,36.84,7.52,44.36,none,none
2009,Whiteout,Warner Bros.,7,28,Pursuit,Action,35,2745,1791,4.9,10.275,7.565,12.2,none,none
2011,The Eagle,Universal,39,43,Quest,Action,25,2296,3782,8.68,19.49,7.631,27.121,none,none
2010,Stone,Independent,49,20,Rivalry,Drama,22,6,12628,0.075,1.81,7.669,9.479,none,none
2011,Apollo 18,Weinstein Company,23,31,Monster Force,Horror,5,3328,2615,8.7,17.687,7.875,25.562,none,none
2009,The Informant!,Warner Bros.,78,42,Comedy,Comedy,22,2505,4177,10.5,33.31,8.45,41.76,none,none
2011,Beginners,Independent,84,80,Love,Comedy,3.2,5,28268,0.14,5.79,8.52,14.31,supporting actor,none
2010,Brooklyn's Finest,Independent,42,47,Temptation,Action,17,1936,6896,13.4,27.163,9.276,36.439,none,none
2011,Warrior,Lionsgate,83,93,Rivalry,Action,25,1869,2805,5.24,13.657,9.4,23.057,none,none
2009,Pandorum,Independent,28,49,Monster Force,Action,40,2506,1765,4.4,10.3,10.314,17,none,none
2010,When in Rome,Disney,15,44,Love,Comedy,NA,2456,5029,12.3,32.68,10.36,43.04,none,none
2011,The Thing,Universal,36,52,Monster Force,Horror,38,2996,2835,8.49,16.928,10.5,27.428,none,none
2010,Cop Out,Warner Bros.,19,45,The Riddle,Action,30,3150,5781,18.21,44.88,10.708,55.588,none,none
2011,The Rum Diary,Independent,50,48,Discovery,Drama,45,2273,2259,5.14,13.109,10.837,23.946,none,none
2011,Anonymous,Relativity Media,46,66,Tragedy,Drama,30,265,3856,1.02,4.463,10.931,15.394,none,none
2010,Takers,Sony,27,57,Rivalry,Action,32,2206,9298,20.5,57.74,11.31,69.05,none,none
2010,Diary of a Wimpy Kid,Independent,53,49,Underdog,Comedy,15,3077,7191,22.1,64,11.7,75.7,none,none
2011,Footloose,Spyglass Entertainment,71,71,Transformation,Drama,24,3549,4383,15.56,51.802,11.74,63.542,none,none
2009,My Life in Ruins,Independent,9,43,Comedy,Comedy,17,1164,2769,3.2,8.67,11.79,18.01,none,none
2010,Faster,CBS Films,41,50,Revenge,Action,24,2454,3873,8.52,23.24,12.386,35.626,none,none
2011,Arthur,Warner Bros.,26,49,Sacrifice,Comedy,40,3276,3731,12.22,33.035,12.7,45.735,none,none
2011,Don't Be Afraid Of The Dark,Miramax,59,37,Monster Force,Horror,25,2760,3089,8.53,24.046,12.946,36.992,none,none
2009,The Uninvited,Paramount,31,52,Monster Force,Drama,NA,2344,4405,10.3,28.6,13.027,42.7,none,none
2009,Love Happens,Universal,18,40,Love,Drama,18,1898,4245,8.05,22.96,13.12,36.08,none,none
2009,An Education,Sony,94,78,Maturation,Drama,7.5,761,1003,0.76,12.57,13.52,26.09,none,none
2011,Shame,Independent,80,80,NA,Drama,6.5,10,34952,0.34,3.09,13.784,16.874,none,none
2010,Dinner for Schmucks,Paramount,43,47,Comedy,Comedy,69,2911,8082,23.5,73.026,13.829,86.855,none,none
2010,The Kids Are All Right,Independent,94,72,Comedy,Comedy,4,847,4162,3.5,20.81,13.894,34.704,none,none
2009,The Invention of Lying,Warner Bros.,56,47,Love,Comedy,18.5,1707,4117,7,18.45,13.95,32.4,none,none
2011,Margin Call,Independent,86,73,Sacrifice,Thriller,3.5,NA,NA,0.56,5.354,14.15,19.504,none,none
2010,Hot Tub Time Machine,MGM,64,57,Journey and Return,Adventure,36,2754,5091,14,50.287,14.284,64.571,none,none
2011,The Debt,Universal,76,70,Pursuit,Thriller,20,1826,5427,9.91,31.177,14.458,45.635,none,none
2009,Brothers,Lionsgate,61,62,Transformation,Drama,26,2088,4563,9.5,28.5,14.77,43.27,none,none
2010,Case 39,Independent,23,42,Monster Force,Horror,26,2211,2420,5.4,13.26,14.93,28.19,none,none
2009,Sorority Row,Summit Entertainment,22,38,Pursuit,Horror,12.5,2665,1899,5.1,11.97,15.24,27.21,none,none
2011,Beastly,CBS Films,19,50,Metamorphosis,Romance,17,1952,5047,9.85,27.865,15.3,43.165,none,none
2009,Jennifer's Body,20th Century Fox,42,37,Monster Force,Comedy,16,2702,2542,6.9,16.2,15.35,31.55,none,none
2010,The Crazies,Liberty Starz,72,54,Monster Force,Horror,20,2476,6489,16.07,39.12,15.683,54.803,none,none
2010,Scott Pilgrim vs. the World,Universal,81,83,Underdog,Action,60,2818,3765,10.6,31.52,16.14,47.66,none,none
2011,What's Your Number,20th Century Fox,24,50,Transformation,Comedy,20,3002,1806,5.42,14.011,16.415,30.426,none,none
2011,Monte Carlo,20th Century Fox,38,50,Love,Romance,20,2473,3014,7.45,23.186,16.48,39.666,none,none
2010,Easy A,Sony,85,75,Maturation,Comedy,8,2856,6209,17.7,58.4,16.55,74.95,none,none
2009,9,Focus,57,58,Sacrifice,Animation,30,1661,10398,10.7,31.74,16.67,48.41,none,none
2011,The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,40,2707,4879,13.21,58.009,17,75.009,none,none
2010,Charlie St. Cloud,Universal,27,62,Discovery,Fantasy,44,2718,4555,12.4,31.16,17.028,48.188,none,none
2009,Push,Summit Entertainment,22,47,Quest,Action,38,2313,4358,10.1,31.81,17.04,48.85,none,none
2011,Dream House,Morgan Creek Productions,7,38,The Riddle,Horror,50,2661,3055,8.13,21.302,17.2,38.502,none,none
2010,For Colored Girls,Independent,33,73,Discovery,Drama,21,2127,9167,19.5,37.729,17.32,55.049,none,none
2010,Machete,Independent,73,66,Revenge,Action,20,2670,4276,11,26.59,17.499,44.089,none,none
2011,Mars Needs Moms,Disney,36,43,Rescue,Animation,150,3117,2218,6.91,21.392,17.6,38.992,none,none
2010,She's Out of My League,Paramount,57,60,Love,Comedy,20,2956,3307,9.8,32.01,17.768,49.778,none,none
2010,Buried,Independent,86,63,Escape,Drama,2,11,9115,0.103,1.04,18.108,19.148,none,none
2011,Drive Angry,Independent,45,38,Rescue,Action,45,2290,2265,5.19,10.721,18.21,28.931,none,none
2009,The Box,Warner Bros.,46,27,Temptation,Drama,30,2635,2873,7.6,15.1,18.28,33.38,none,none
2010,Furry Vengeance,Summit Entertainment,8,36,Comedy,Comedy,35,2997,2211,6.6,17.63,18.606,36.236,none,none
2010,I Love You Phillip Morris,Independent,71,57,Love,Comedy,15,100,NA,0.11,2.037,18.685,20.722,none,none
2009,Year One,Sony,14,31,Quest,Adventure,60,3022,6489,19.6,43.33,19.02,62.35,none,none
2009,Land of the Lost,Universal,26,38,Journey and Return,Drama,100,3521,5350,18.8,49.43,19.339,68.769,none,none
2009,The Road,Weinstein Company,75,65,Quest,Adventure,25,111,13534,1.5,8.117,19.51,27.627,none,none
2011,Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,47,63,Comedy,Comedy,21,3167,7500,23.75,52.698,19.718,72.416,none,none
2009,Funny People,Universal,68,58,Transformation,Comedy,75,3007,7535,22.7,51.85,19.73,71.58,none,none
2009,"I Love You, Man",Paramount,83,72,Comedy,Comedy,40,2711,6570,17.8,71.4,20.196,91.4,none,none
2009,Gamer,Lionsgate,29,43,Revenge,Action,12.5,2502,3659,9.15,20.53,20.29,40.82,none,none
2009,Astro Boy,Summit Entertainment,49,53,Quest,Animation,65,3014,2224,6.7,19.55,20.335,39.885,none,none
2011,My Week with Marilyn,Weinstein Company,83,84,Love,Drama,10,247,7174,1.75,14.6,20.457,35.057,none,none
2009,Crank: High Voltage,Lionsgate,62,54,Pursuit,Action,12.9,2223,3133,7,13.7,20.8,34.5,none,none
2010,The Spy Next Door,Relativity Media,13,46,Rivalry,Action,NA,2924,3326,9.7,24.31,20.929,45.239,none,none
2011,Something Borrowed,Independent,NA,NA,Love,Romance,35,2904,4802,13.95,39.046,21.137,60.183,none,none
2011,The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,70,2940,6060,17.8,48.475,21.246,69.721,none,none
2011,Shark Night 3D,Relativity Media,16,25,Escape,Horror,25,2806,2995,8.4,18.877,21.259,40.136,none,none
2010,Daybreakers,Lionsgate,67,50,Discovery,Action,20,2523,6003,15.1,30.1,21.31,51.41,none,none
2011,A Dangerous Method,Independent,79,89,Love,Drama,20,NA,NA,0.17,5.704,21.757,27.461,none,none
2011,The Mechanic,Independent,53,52,Revenge,Action,40,2703,4226,11.4,29.121,21.949,51.07,none,none
2010,The Switch,Independent,52,44,Comedy,Comedy,19,2012,4193,8.4,27.78,22.051,49.831,none,none
2009,The Haunting in Connecticut,Lionsgate,17,51,Monster Force,Drama,30,2732,8420,23,55.39,22.13,77.52,none,none
2009,A Serious Man,Universal,89,64,Love,Drama,7,6,41890,0.25,9.228,22.201,31.429,none,none
2009,The Fourth Kind,Universal,18,44,Monster Force,Mystery,10,2527,4840,12.2,25.48,22.22,47.7,none,none
2011,Fright Night,DreamWorks,75,68,Rivalry,Horror,30,3114,2477,7.71,18.302,22.7,41.002,none,none
2009,Where the Wild Things Are,Warner Bros.,73,59,Journey and Return,Adventure,100,3735,8754,32.7,77.23,22.853,100.083,none,none
2011,Dolphin Tale,Independent,84,81,Quest,Drama,37,3507,5461,19.15,72.29,23.117,95.407,none,none
2011,Extremely Loud and Incredibly Close,Warner Bros.,47,62,NA,Drama,40,2630,3820,10.04,31.847,23.4,55.247,none,none
2011,Jane Eyre,Universal,85,77,Love,Romance,NA,NA,NA,0.18,11.242,23.467,34.709,none,none
2009,Ninja Assassin,Warner Bros.,25,57,Revenge,Action,50,2503,5320,13.3,38.12,23.47,61.59,none,none
2011,Hanna,Universal,71,67,Quest,Action,30,2535,4880,12.37,40.259,23.522,63.781,none,none
2010,Going the Distance,Warner Bros.,53,56,Love,Comedy,32,3030,2272,6.9,17.8,24.25,42.05,none,none
2011,Colombiana,Sony,28,55,Revenge,Action,40,2614,3982,10.41,36.665,24.3,60.965,none,none
2009,Cirque du Freak: The Vampire's Assistant,Universal,38,50,Discovery,Action,40,2754,2285,6.3,13.869,25.362,39.231,none,none
2010,Alpha and Omega,Crest,17,41,Journey and Return,Animation,20,2625,3469,9.1,25.107,25.4,50.507,none,none
2009,Fantastic Mr. Fox,20th Century Fox,93,80,Rivalry,Animation,40,2033,3426,7,21,25.46,46.46,none,none
2010,The Last Song,Disney,19,66,Discovery,Drama,20,2673,5989,16,62.95,26.09,89.04,none,none
2010,Letters to Juliet,Summit Entertainment,40,62,Love,Comedy,30,2968,4562,13.5,53.03,26.149,79.179,none,none
2009,Friday the 13th,Paramount,25,52,Monster Force,Horror,19,3105,13066,40.6,65,26.4,91.4,none,none
2010,The Last Exorcism,Independent,73,32,Monster Force,Drama,1.8,2874,7087,20.4,41.03,26.703,67.733,none,none
2009,Zombieland,Sony,90,87,Monster Force,Action,23.6,3036,8147,24.7,75.59,26.801,102.391,none,none
2011,Conan the Barbarian,Lionsgate,22,34,Quest,Action,90,3015,3324,10.02,21.295,27.5,48.795,none,none
2010,Legion,Independent,19,36,Monster Force,Action,26,2476,7069,17.5,40.17,27.75,67.92,none,none
2009,"Pirate Radio (The Boat that Rocked, UK)",Focus,60,72,Comedy,Comedy,50,882,3293,2.9,8.01,28.33,36.34,none,none
2009,(500) Days of Summer,20th Century Fox,87,81,Love,Comedy,7.5,817,4577,3.8,32.39,28.33,60.72,none,none
2010,From Paris with Love,Independent,38,57,Pursuit,Action,52,2722,2997,8.2,24.08,28.749,52.829,none,none
2010,Morning Glory,Independent,54,54,Comedy,Comedy,40,2518,3655,9.2,31.01,29.029,60.039,none,none
2010,Devil,Independent,52,45,Monster Force,Horror,10,2809,4375,12.3,33.6,29.094,62.694,none,none
2009,Whatever Works,Independent,50,63,Discovery,Comedy,15,9,29574,0.26,5.3,29.791,35.091,none,none
2010,Get Him to the Greek,Universal,73,63,Comedy,Comedy,40,2697,6515,17.6,60.97,30.287,91.257,none,none
2010,You Will Meet a Tall Dark Stranger,Independent,43,35,Love,Comedy,22,402,NA,0.16,3.24,31.027,34.267,none,none
2011,Killer Elite,Independent,25,48,Rivalry,Action,70,2986,3132,9.35,25.124,31.258,56.382,none,none
2009,The Hurt Locker,Independent,97,83,Quest,Drama,15,4,36338,0.14,17.01,32.21,49.22,"Best Picture, Director, Original Screenplay","Film, Director, Original Screenplay"
2010,The American,Universal,66,37,Rivalry,Crime,20,2823,4668,13.1,35.606,32.269,67.875,none,none
2009,Julie & Julia,Sony,74,69,Underdog,Biography,40,2354,8508,20,94.12,32.451,126.571,none,none
2009,Aliens in the Attic,20th Century Fox,30,46,Monster Force,Adventure,45,3106,2578,8,25.2,32.68,57.88,none,none
2009,The Unborn,Relativity Media,11,39,Monster Force,Horror,16,2357,8405,19.8,42.67,33.84,76.51,none,none
2009,Nine,Weinstein Company,37,40,Discovery,Drama,80,1412,3862,5.45,19.67,34.32,53.99,none,none
2011,Moneyball,Columbia,95,89,Underdog,Drama,50,2993,6516,19.5,75.6,34.6,110.2,none,none
2009,The International,Sony,58,39,The Riddle,Action,50,2364,3947,9.3,25.4,34.7,60.1,none,none
2010,Dear John,Sony,29,66,Love,Drama,25,2969,10262,30.4,80.01,34.96,114.97,none,none
2011,The Ides of March,Columbia,85,76,Transformation,Thriller,12.5,2199,4761,10.47,40.962,35.03,75.992,none,none
2009,Orphan,Warner Bros.,55,65,Escape,Horror,30,2750,4681,12.8,41.59,35.103,76.693,none,none
2010,The Fighter,Paramount,91,88,Underdog,Drama,25,2503,4848,12,93.617,35.537,129.154,"Sup. Actor, Sup. Actress",none
2011,Larry Crowne,Universal,34,46,Discovery,Drama,30,2973,4405,13.1,35.608,36.4,72.008,none,none
2009,The Men Who Stare at Goats,Independent,52,43,Comedy,Comedy,25,2443,5201,12.7,32.4,36.54,68.94,none,none
2009,Paul Blart: Mall Cop,Sony,33,50,Comedy,Action,26,3144,10125,31.8,146.33,36.95,183.28,none,none
2010,Remember Me,Summit Entertainment,28,70,Love,Drama,16,2212,3657,8,19.07,36.964,56.034,none,none
2009,Duplicity,Universal,64,38,Rivalry,Romance,60,2574,5425,14,40.57,37.57,78.14,none,none
2010,Edge of Darkness,Warner Bros.,55,56,Revenge,Crime,80,3066,5615,17.2,43.31,37.81,81.12,none,none
2009,The Time Traveler's Wife,Paramount,38,65,Love,Drama,39,2988,6233,18.6,63.41,37.92,101.33,none,none
2011,Hall Pass,Warner Bros.,35,44,Temptation,Comedy,36,2950,4588,13.54,45.06,38.1,83.16,none,none
2011,The Change Up,Relativity Media,24,53,Metamorphosis,Comedy,52,2913,4645,13.53,37.081,38.368,75.449,none,none
2009,Race to Witch Mountain,Buena Vista,42,50,Quest,Action,50,3187,7651,24.4,67.17,39.21,106.38,none,none
2010,The Back-up Plan,CBS Films,20,47,Love,Comedy,35,3280,3720,12.2,37.49,39.987,77.477,none,none
2009,The Pink Panther 2,Sony,12,47,Comedy,Adventure,59,3243,3573,11.6,35.92,40.02,75.94,none,none
2009,Saw VI,Independent,40,67,Escape,Horror,11,3036,4650,14.1,27.69,40.5,68.19,none,none
2011,The Tree Of Life,Independent,84,61,Discovery,Drama,32,4,93230,0.37,13.303,41,54.303,none,none
2011,Drive,Independent,93,79,Rivalry,Thriller,15,2886,3929,11.34,35.06,41.114,76.174,none,none
2010,127 Hours,Independent,93,84,Escape,Adventure,18,916,2333,2.13,18.33,42.4,60.73,none,none
2011,Insidious,Sony,67,65,Monster Force,Horror,1.5,2408,5511,13.27,54.009,43,97.009,none,none
2010,Life as We Know It,Independent,28,62,Love,Comedy,52.274,3150,4605,14.5,53.13,43.03,53.374,none,none
2010,Vampires Suck,Independent,4,32,Comedy,Comedy,20,3233,3774,12.2,36.66,43.886,80.546,none,none
2009,Hotel for Dogs,Paramount,46,57,Comedy,Comedy,35,3271,5201,17,73,43.965,118.2,none,none
2011,We Bought a Zoo,20th Century Fox,63,79,NA,Comedy,50,3117,3003,9.36,75.624,44.457,120.081,none,none
2010,The Ghost Writer,Summit Entertainment,83,68,The Riddle,Mystery,45,819,2520,2,15.54,44.68,60.22,none,none
2009,Inkheart,Warner Bros.,39,51,Quest,Adventure,60,2655,2862,7.6,17.3,45.14,62.44,none,none
2010,Skyline,Independent,16,19,Monster Force,Action,10,2880,4060,11.69,21.39,45.427,66.817,none,none
2011,One Day,Independent,37,54,Love,Romance,15,1719,2955,5.08,13.843,45.545,59.388,none,none
2009,Underworld: Rise of the Lycans,Sony,30,68,Rivalry,Action,35,2942,7080,20.8,45.8,45.55,91.35,none,none
2010,The Next Three Days,Lionsgate,51,66,Rescue,Crime,30,2564,2552,6.54,21.15,46.3,67.45,none,none
2009,My Sister's Keeper,Warner Bros.,47,73,Escape,Drama,27.5,2606,4774,12.4,49.2,46.514,95.714,none,none
2011,The Help,DreamWorks,75,91,Maturation,Drama,25,2534,10278,26.04,169.708,46.931,216.639,supporting actress,none
2009,Ghosts of Girlfriends Past,Warner Bros.,27,47,Love,Comedy,50,3175,4854,15.4,55.25,46.97,102.22,none,none
2011,Spy Kids: All The Time in the World,Weinstein Company,22,40,Quest,Action,27,3295,3534,11.64,38.538,47.026,85.564,none,none
2009,Old Dogs,Buena Vista,5,49,Comedy,Comedy,35,3425,4933,16.9,49.49,47.26,96.75,none,none
2011,J.Edgar,Warner Bros.,42,84,Wretched Excess,Drama,35,1910,5873,11.22,37.306,47.3,84.606,none,none
2010,Kick-Ass,Independent,76,83,Rivalry,Action,30,3065,6469,19.8,48.071,48.117,96.188,none,none
2009,Dragonball Evolution,20th Century Fox,15,28,Quest,Action,30,2181,2181,4.8,9.36,48.134,58.23,none,none
2009,Drag Me to Hell,Universal,92,61,Monster Force,Horror,30,2508,6310,15.8,42.1,48.7,90.8,none,none
2011,Priest,Sony,17,37,Monster Force,Action,60,2864,5221,14.95,29.136,49.172,78.308,none,none
2009,My Bloody Valentine 3-D,Lionsgate,57,48,Pursuit,Crime,14,2534,8383,21.2,51.54,49.188,100.728,none,none
2009,Coraline,Universal,89,77,Journey and Return,Animation,60,2299,7329,16.8,75.28,49.3,124.58,none,none
2009,The Lovely Bones,Paramount,32,57,Tragedy,Drama,65,2563,6635,17,44,49.507,93.507,none,none
2010,Burlesque,Paramount,36,66,Rags to Riches,Drama,55,3037,3934,11.95,39.44,50.079,89.519,none,none
2010,Marmaduke,20th Century Fox,9,46,Rivalry,Comedy,50,3213,3610,11.6,33.64,50.117,83.757,none,none
2009,State of Play,Universal,84,71,The Riddle,Crime,60,2803,5020,14.1,37.02,50.794,88.3,none,none
2010,Killers,Lionsgate,11,45,Love,Action,75,2859,5539,15.8,47.06,51.1,98.16,none,none
2010,The Other Guys,Sony,78,57,Comedy,Action,100,3651,9735,35.5,119.219,51.212,170.431,none,none
2011,Red Riding Hood,Warner Bros.,11,41,Monster Force,Horror,42,3030,4622,14.01,37.662,51.5,89.162,none,none
2010,Tooth Fairy,20th Century Fox,16,46,Comedy,Comedy,48,3344,4190,14,60.02,52.44,112.46,none,none
2010,A Nightmare on Elm Street,Warner Bros.,13,40,Monster Force,Horror,35,3332,9875,32.9,63.08,52.59,115.67,none,none
2009,Law Abiding Citizen,Independent,25,77,Revenge,Crime,53,2890,7280,21,73.4,53.08,126.48,none,none
2009,The Blind Side,Warner Bros.,65,90,Rags to Riches,Biography,29,3110,10971,34.1,255.959,53.24,309.199,Best Actress,none
2011,Sucker Punch,Legendary Pictures,23,48,Quest,Action,82,3033,6284,19.06,36.392,53.4,89.792,none,none
2010,Date Night,20th Century Fox,66,58,Pursuit,Comedy,55,3374,7471,25.2,98.711,53.552,152.263,none,none
2011,Abduction,Vertigo Entertainment,4,46,Maturation,Action,35,3118,3504,10.93,28.087,54,82.087,none,none
2010,Jackass 3-D,Paramount,63,72,Comedy,Documentary,20,3081,16343,50.4,117.229,54.456,171.685,none,none
2009,Fame,MGM,25,43,Maturation,Comedy,18,3096,3234,10,22.455,54.756,77.211,none,none
2009,Did You Hear About the Morgans?,Sony,12,31,Comedy,Comedy,58,2718,2434,6.6,29.58,55.7,85.28,none,none
