Year,Film,Studio,RottenTomatoes,AudienceScore,Story,Genre,Budget,CinemasOpenWeek,AverageOpenWeek,OpeningWeekend,DomesticGross,ForeignGross,WorldwideGross,Oscar,Bafta
2009,Bride Wars,20th Century Fox,11,56,Comedy,Comedy,30,3226,6528,21.1,58.75,55.947,115.15,none,none
2011,Tinker Tailor Soldier Spy,Focus,83,68,NA,Thriller,21,809,6772,5.47,24.149,56.481,80.63,none,none
2010,Piranha 3-D,Weinstein Company,74,45,Monster Force,Comedy,24,2470,4092,10.1,25.003,58.185,83.188,none,none
2011,Water For Elephants,20th Century Fox,60,72,Love,Drama,38,2817,5979,16.84,58.709,58.385,117.094,none,none
2011,"Crazy, Stupid, Love",Warner Bros.,78,81,Discovery,Romance,50,3020,6326,19.1,84.351,58.5,142.851,none,none
2011,Scream 4,Weinstein Company,58,57,Monster Force,Horror,40,3305,5656,18.69,38.18,58.957,97.137,none,none
2011,Contagion,Warner Bros.,84,63,The Riddle,Thriller,60,3222,6935,22.4,75.658,59.8,135.458,none,none
2010,Green Zone,Universal,53,60,Quest,Action,100,3003,4765,14.3,35.05,59.828,94.878,none,none
2011,Paul,Relativity Media,72,70,Comedy,Comedy,40,2802,4655,13.04,37.412,60.571,97.983,none,none
2010,The Town,Warner Bros.,94,83,Rivalry,Crime,37,2856,8322,23.8,92.186,61.839,154.025,none,none
2010,The Book of Eli,Independent,48,68,Quest,Action,80,3111,10540,32.7,94.835,62.272,157.107,none,none
2009,Couples Retreat,Universal,12,47,Comedy,Comedy,60,3000,11429,34.3,109.2,62.63,171.83,none,none
2011,The Rite,Warner Bros.,20,43,Monster Force,Horror,37,2985,4955,14.8,33.047,63,96.047,none,none
2009,Planet 51,Independent,22,45,Comedy,Animation,70,3035,4048,12.3,42.19,63.45,105.64,none,none
2009,Confessions of a Shopaholic,Disney,24,53,Comedy,Comedy,70,2507,6010,15,44.27,64.05,108.3,none,none
2010,Nanny McPhee Returns,Universal,77,54,Comedy,Comedy,35,2784,3020,8.4,29.01,64.23,93.24,none,none
2011,The Adjustment Bureau,Independent,72,67,Sacrifice,Thriller,50.2,2840,7450,21.16,62.495,65.373,127.868,none,none
2011,Season Of The Witch,Relativity Media,10,32,Monster Force,Action,40,2816,3769,10.6,24.827,66.8,91.627,none,none
2011,Unknown,Independent,55,57,The Riddle,Thriller,30,3043,7183,21.86,63.686,67.1,130.786,none,none
2010,Cats & Dogs: The Revenge of Kitty Galore,Independent,13,43,Pursuit,Action,85,3705,3314,12.3,43.59,68.9,112.49,none,none
2010,The Bounty Hunter,Sony,7,41,Rivalry,Action,40,3074,6729,20.7,67.061,69.272,136.333,none,none
2010,Love & Other Drugs,20th Century Fox,48,55,Love,Comedy,30,2455,3967,9.74,32.367,70.435,102.802,none,none
2009,17 Again,Independent,55,70,Maturation,Comedy,20,3255,7288,23.7,64.2,72.1,136.3,none,none
2011,Cowboys and Aliens,Universal,44,50,Monster Force,Action,163,3750,9715,36.43,100.24,74.581,174.821,none,none
2011,Tower Heist,Relativity Media,68,61,Revenge,Comedy,75,3367,7135,24.03,78.04,74.884,152.924,none,none
2010,Predators,20th Century Fox,64,52,Monster Force,Action,40,2669,9277,24.8,52,75.232,127.232,none,none
2011,Jack and Jill,Happy Madison Productions,4,59,Comedy,Comedy,79,3438,7273,25,74.16,75.52,149.68,none,none
2011,Hop,Relativity Media,26,50,Fish Out Of Water,Animation,63,3579,10490,37.54,108.085,75.868,183.953,none,none
2009,Hannah Montana: The Movie,Disney,44,66,Maturation,Comedy,35,3118,10367,32.3,79.58,75.969,155.549,none,none
2011,The Muppets,Disney,97,87,Quest,Comedy,45,3440,8500,29.24,88.631,76.553,165.184,none,none
2009,Watchmen,Warner Bros.,64,68,Sacrifice,Action,130,3611,15291,55.2,107.5,77.7,185.3,none,none
2010,The Wolfman,Universal,33,38,Monster Force,Drama,150,3222,9770,31.5,61.98,77.81,139.79,none,none
2011,No Strings Attached,Spyglass Entertainment,49,57,Comedy,Comedy,25,3018,6512,19.7,70.662,78.565,149.227,none,none
2009,Bruno,Universal,68,48,Comedy,Comedy,42,2756,11110,30.6,60.1,78.751,130.8,none,none
2010,True Grit,Paramount,96,86,Revenge,Adventure,38,3047,8149,24,171.243,81.03,252.273,none,none
2009,Taken,20th Century Fox,58,83,Pursuit,Action,25,3183,7765,24.7,145,81.8,226.8,none,none
2010,Wall Street: Money Never Sleeps,Independent,54,43,Rivalry,Drama,70,3565,5333,19,52.47,82.273,134.743,none,none
2011,Limitless,Virgin,69,73,Wretched Excess,Thriller,27,2756,6860,18.91,79.249,82.6,161.849,none,none
2009,Surrogates,Buena Vista,39,42,Pursuit,Action,80,2951,5050,14.9,38.57,83.86,122.43,none,none
2010,Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,51,65,Rivalry,Animation,80,3575,4507,16.1,55.675,84.398,140.073,none,none
2009,The Taking of Pelham 1 2 3,Sony,51,60,Rescue,Action,100,3074,7603,23.37,65.45,84.71,150.16,none,none
2009,Invictus,Warner Bros.,75,74,Underdog,Biography,60,2125,4052,8.6,37.49,84.74,122.23,none,none
2009,He's Just Not That Into You,Warner Bros.,42,60,Love,Comedy,25,3175,8751,27.8,93.95,84.89,178.84,none,none
2011,The Iron Lady,Weinstein Company,53,54,NA,Drama,13,802,6749,5.41,30.017,84.938,114.955,none,none
2011,Sanctum,Relativity Media,30,39,Quest,Action,30,2787,3390,9.4,23.209,85.4,108.609,none,none
2009,Paranormal Activity,Independent,82,56,Monster Force,Horror,0.015,760,25813,19.6,107.92,85.436,193.356,none,none
2010,Unstoppable,20th Century Fox,86,73,Rescue,Action,95,3207,7075,22.69,81.56,86.242,167.802,none,none
2011,Happy Feet 2,Village Roadshow Pictures,41,59,Journey and Return,Animation,135,3606,5889,21.24,64.01,86.4,150.41,none,none
2011,New Year's Eve,Warner Bros.,8,48,Love,Romance,56,3505,3714,13.01,54.54,87.5,142.04,none,none
2011,The Artist,Weinstein Company,97,91,NA,Drama,16,662,3583,2.37,44.671,88.761,133.432,"Picture, Actor, Director",none
2011,Zookeeper,Happy Madison Productions,14,42,Comedy,Comedy,80,3482,5763,20.07,80.36,89.491,169.851,none,none
2010,Saw 3-D,Independent,10,47,Escape,Crime,20,2808,8024,22.53,45.71,90.44,136.15,none,none
2011,Horrible Bosses,Warner Bros.,69,72,Revenge,Comedy,35,3040,9310,28.3,117.538,92.1,209.638,none,none
2011,Source Code,Summit Entertainment,92,81,The Riddle,Thriller,32,2961,5002,14.81,54.712,92.62,147.332,none,none
2010,Paranormal Activity 2,Paramount,NA,NA,Monster Force,Horror,3,3216,12649,40.67,84.752,92.759,177.511,none,none
2011,Friends With Benefits,Warner Bros.,71,68,Temptation,Romance,35,2926,6364,18.62,55.802,93.739,149.541,none,none
2011,Gnomeo and Juliet,Disney,56,52,Love,Animation,36,2994,8469,25.36,99.967,94,193.967,none,none
2011,Midnight in Paris,Sony,93,84,Love,Romance,17,944,6177,5.83,56.817,94.302,151.119,orig. screenplay,none
2011,The Descendants,20th Century Fox,89,88,Discovery,Drama,20,876,5000,4.38,82.584,94.659,177.243,none,none
2011,I Am Number Four,Paramount,32,57,Maturation,Thriller,60,3154,6167,19.45,55.1,94.778,149.878,none,none
2009,District 9,Independent,91,81,Metamorphosis,Action,30,3049,12251,37.4,115.6,95.17,210.77,none,none
2011,War Horse,Disney,77,73,NA,Drama,66,2376,6114,14.52,79.884,97.7,177.584,none,none
2010,The A-Team,20th Century Fox,47,71,Pursuit,Action,100,3535,7262,25.7,77.22,100.016,177.236,none,none
2011,Arthur Christmas,Aardman Animations,92,82,Journey and Return,Animation,150,3376,3537,12.07,46.46,100.95,147.41,none,none
2010,Yogi Bear,Warner Bros.,14,36,NA,Comedy,80,3515,4669,16.4,100.246,101.338,201.584,none,none
2011,Paranormal Activity 3,Independent,68,58,Monster Force,Horror,5,3321,15829,52.57,104.028,103.011,207.039,none,none
2011,Green Lantern,Warner Bros.,27,48,Metamorphosis,Action,200,3816,13935,53.17,116.601,103.25,219.851,none,none
2009,Knowing,Summit Entertainment,33,50,Escape,Drama,50,3332,7384,24.6,79.95,103.63,183.58,none,none
2010,Valentine's Day,Warner Bros.,17,54,Love,Comedy,52,3655,15351,56.2,110.485,106,216.485,none,none
2009,It's Complicated,Universal,56,63,Love,Comedy,85,2887,7655,22.1,112.73,106.368,219.098,none,none
2010,Red,Summit Entertainment,71,72,Rivalry,Action,58,3255,6686,21.8,90.38,108.626,199.006,none,none
2010,Grown Ups,Independent,10,59,Comedy,Comedy,80,3534,11462,40.5,162.001,109.429,271.43,none,none
2010,Due Date,Warner Bros.,40,56,Comedy,Comedy,50,3355,9743,32.69,100.539,111.241,211.78,none,none
2011,The Three Musketeers,Independent,24,48,Rivalry,Action,75,3017,2875,8.67,20.374,111.9,132.274,none,none
2011,Hugo,Paramount,93,84,NA,Adventure,150,1277,8899,11.36,73.864,111.905,185.769,none,none
2011,Just Go With It,Happy Madison Productions,19,63,Comedy,Romance,80,3548,8601,30.51,103.028,111.917,214.945,none,none
2011,Final Destination 5,New Line Cinema,61,56,Monster Force,Horror,40,3155,5715,18.03,42.587,115.3,157.887,none,none
2011,Bad Teacher,Independent,44,38,Comedy,Comedy,20,3049,10365,31.6,100.292,115.904,216.196,none,none
2009,Up in the Air,Paramount,90,76,Maturation,Drama,25,1895,5947,11.2,83.82,116.383,200.203,none,Adapted Screenplay
2009,The Ugly Truth,Independent,14,68,Love,Comedy,38,2882,9579,27.6,88.9,116.383,205.283,none,none
2010,Step Up 3D,Summit Entertainment,46,67,Transformation,Drama,30,2435,6494,15.8,42.4,116.891,159.291,none,none
2009,Public Enemies,Universal,67,65,Underdog,Biography,100,3334,7580,25.2,97.1,117,214.1,none,none
2009,Cloudy with a Chance of Meatballs,Sony,86,70,Comedy,Animation,100,3119,9716,30.3,124.9,118.13,243.03,none,none
2011,Mr. Popper's Penguins,20th Century Fox,47,54,Discovery,Comedy,55,3339,5524,18.45,68.224,119.137,187.361,none,none
2011,Bridesmaids,Relativity Media,90,77,Rivalry,Comedy,32.5,2918,8995,26.25,169.106,119.276,288.382,none,none
2009,The Final Destination,Warner Bros.,29,52,Escape,Horror,40,3121,8782,27.4,66.5,119.689,186.189,none,none
2011,Rango,Paramount,88,69,Fish Out Of Water,Animation,135,3917,9722,38.08,123.477,122.246,245.723,none,none
2010,Eat Pray Love,Sony,36,46,Journey and Return,Drama,60,3082,7497,23.1,80.57,124.02,204.59,none,none
2009,Star Trek,Paramount,94,91,Revenge,Action,140,3849,19539,75.2,257.7,127.95,385.65,none,none
2010,The Social Network,Sony,96,89,Rags to Riches,Biography,50,2771,8100,22.4,96.962,127.957,224.919,none,none
2011,Battle: Los Angeles,Relativity Media,35,50,Monster Force,Action,70,3417,10411,35.57,83.552,128.266,211.818,none,none
2011,The Green Hornet,Columbia,44,47,Rivalry,Action,120,3584,9335,33.5,98.78,129.037,227.817,none,none
2011,The Girl With The Dragon Tattoo,Sony,87,89,NA,Thriller,90,2914,4382,12.76,102.06,130.101,232.161,none,none
2011,Super 8,Paramount,82,78,Monster Force,Horror,50,3379,10492,35.45,127.004,133.091,260.095,none,none
2011,In Time,Regency Enterprises,38,55,The Riddle,Thriller,40,3122,3860,12.05,37.52,136.41,173.93,none,none
2010,Percy Jackson & the Olympians: The Lightning Thief,20th Century Fox,50,57,Rivalry,Action,95,3356,9308,31.2,88.77,137.73,226.5,none,none
2011,Immortals,Relativity Media,36,59,Revenge,Action,75,3112,10349,32.21,83.504,143.4,226.904,none,none
2011,Johnny English Reborn,Relativity Media,38,55,Comedy,Comedy,45,1552,2470,3.83,8.305,151.772,160.077,none,none
2010,The Sorcerer's Apprentice,Disney,42,57,Pursuit,Action,150,3504,5028,17.6,63.15,152.13,215.28,none,none
2009,G.I. Joe: The Rise of Cobra,Paramount,33,62,Pursuit,Action,175,4007,13654,54.7,150.2,152.26,302.1,none,none
2009,The Proposal,Disney,43,74,Love,Comedy,40,3056,11004,33.6,163.958,153.417,314.7,none,none
2010,Little Fockers,Independent,9,40,Comedy,Comedy,100,3536,8720,30.83,148.438,162.211,310.649,none,none
2009,The Princess and the Frog,Disney,84,72,Metamorphosis,Animation,105,3434,7050,24.2,104.4,162.64,267.04,none,none
2010,Shutter Island,Paramount,68,73,The Riddle,Drama,80,2991,13729,41,128.012,166.79,294.802,none,none
2010,The Expendables,Independent,40,58,Pursuit,Action,82,3270,10650,34.8,103.068,171.401,274.469,none,none
2009,G-Force,Disney,22,50,Comedy,Action,150,3697,8576,31.7,119.4,173.38,285.1,none,none
2010,Megamind,Paramount,72,73,Transformation,Animation,130,3944,11668,46.02,148.415,173.469,321.884,none,none
2010,Salt,Sony,62,62,Revenge,Action,110,3612,9970,36,118.311,175.191,293.502,none,none
2010,The Karate Kid,Sony,66,75,Underdog,Action,40,3663,15197,55.7,176.59,182.53,359.12,none,none
2009,Monsters Vs. Aliens,Paramount,72,65,Monster Force,Animation,175,4104,14454,59.3,198.4,183.2,381.5,none,none
2010,Knight and Day,20th Century Fox,53,52,Pursuit,Action,117,3098,6501,20.2,76.42,185.507,261.927,none,none
2009,A Christmas Carol,Disney,52,72,Transformation,Animation,200,3683,8159,30.1,137.9,187.43,325.33,none,none
2010,The Last Airbender,Paramount,6,42,Quest,Action,150,3169,12725,40.3,131.772,187.941,319.713,none,none
2009,Michael Jackson's This Is It,Sony,81,82,Tragedy,Documentary,60,3481,6675,23.3,72.1,189.092,261.192,none,none
2009,The Hangover,Warner Bros.,79,87,Comedy,Comedy,35,3269,13759,45,277.3,190.16,467.46,none,none
2010,Sex and the City 2,Warner Bros.,15,49,Love,Comedy,100,3445,8999,31,95.347,193,288.347,none,none
2009,X-Men Origins: Wolverine,20th Century Fox,37,72,Revenge,Action,150,4099,20751,85.1,179.9,193.2,373.1,none,none
2011,Captain America: The First Avenger,Disney,78,75,Metamorphosis,Action,140,3715,17512,65.06,176.654,193.915,370.569,none,none
2010,Gulliver's Travels,20th Century Fox,21,31,Journey and Return,Comedy,112,2546,2477,6.3,42.779,194.603,237.382,none,none
2009,Inglourious Basterds,Universal,88,87,Underdog,Adventure,70,3135,12024,38,120.5,200.91,321.41,Supporting Actor,Supporting Actor
2011,X-Men: First Class,Disney,87,88,Monster Force,Action,160,3641,15134,55.1,146.408,207.215,353.623,none,none
2009,Fast and Furious,Universal,28,76,Revenge,Action,85,3461,20500,70.9,155.1,208,363.1,none,none
2010,The Tourist,Sony,20,44,NA,Thriller,100,2756,5977,16,67.631,210.715,278.346,none,none
2011,Real Steel,DreamWorks,58,81,Underdog,Action,110,3440,7942,27.32,85.468,213.8,299.268,none,none
2010,Robin Hood,Universal,42,59,Rivalry,Action,200,3503,10295,36,105.269,216.4,321.669,none,none
2010,Black Swan,20th Century Fox,88,86,Wretched Excess,Drama,13,959,8742,8.38,106.954,222.443,329.397,Best Actress,none
2009,Alvin and the Chipmunks: The Squeakquel,Independent,21,59,Comedy,Animation,75,3700,13210,48.8,219.5,223,440.7,none,none
2010,Tron: Legacy,Independent,50,67,Fish Out Of Water,Action,170,3451,12578,44.03,172.062,228,400.062,none,none
2009,Night at the Museum: Battle of the Smithsonian,20th Century Fox,43,60,Quest,Action,150,4096,13226,54.2,177.2,235.8,413,none,none
2010,Resident Evil: Afterlife,Highlight Communications,24,53,Monster Force,Action,60,3203,8320,26.7,60.13,236.09,296.22,none,none
2010,Prince of Persia: The Sands of Time,Disney,36,71,Rivalry,Action,200,3646,8254,30,90.759,245.606,336.365,none,none
2009,Terminator Salvation,Warner Bros.,33,64,Monster Force,Action,200,3530,12056,42.6,125.3,246.7,372,none,none
2011,Thor,Disney,77,80,Monster Force,Action,150,3955,16618,65.72,181.03,268.29,449.32,none,none
2010,The King's Speech,Independent,95,93,Maturation,Biography,15,700,6406,4.4,138.79,275.414,414.204,"Best Picture, Director,  Actor, Orig. Screenplay",none
2010,How to Train Your Dragon,Paramount,98,90,Underdog,Animation,165,4055,10785,43.7,217.58,277.3,494.88,none,none
2010,Despicable Me,Universal,81,81,Maturation,Animation,69,3476,16225,56.4,251.513,291.6,543.113,none,none
2011,The Adventures of Tintin,Paramount,74,78,Quest,Adventure,130,3087,3149,9.72,77.591,296.402,373.993,none,none
2011,Rise of the Planet of the Apes,20th Century Fox,83,87,Revenge,Action,93,3648,15024,54.81,176.704,305.04,481.744,none,none
2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,20th Century Fox,49,63,Quest,Adventure,155,3555,6752,24,104.386,311.299,415.685,none,none
2010,Iron Man 2,Paramount,74,80,Rivalry,Action,200,4380,29252,128.1,312.43,311.5,623.93,none,none
2009,Sherlock Holmes,Warner Bros.,70,81,The Riddle,Action,90,3626,17183,62.3,209.02,315,524.02,none,none
2010,Clash of the Titans,Warner Bros.,28,48,Quest,Action,125,3777,16213,61.2,163.214,330,493.214,none,none
2011,The Hangover Part II,Legendary Pictures,35,58,Comedy,Comedy,80,3615,23775,85.95,254.464,332.3,586.764,none,none
2011,Rio,20th Century Fox,71,73,Quest,Animation,90,3826,10252,39.23,143.619,341.015,484.634,none,none
2009,Angels & Demons,Sony,36,65,The Riddle,Mystery,150,3527,13100,46.2,133.4,352.6,485.9,none,none
2011,Sherlock Holmes 2,Warner Bros.,60,79,Pursuit,Action,125,3703,10704,39.63,186.85,358.6,545.45,none,none
2011,Cars 2,Pixar,38,56,Fish Out Of Water,Animation,200,4115,16072,66.14,191.45,368.4,559.85,none,none
2010,Tangled,Disney,89,88,Love,Animation,260,3603,13535,48.77,200.821,390.973,591.794,none,none
2010,The Twilight Saga: Eclipse,Summit Entertainment,50,74,Monster Force,Drama,68,4468,14510,64.8,300.53,397.959,698.489,none,none
2011,Puss In Boots,DreamWorks Animation,83,76,Quest,Animation,130,3952,8623,34.08,149.26,405.726,554.986,none,none
2009,The Twilight Saga: New Moon,Summit Entertainment,27,78,Love,Drama,50,4024,35497,142.8,296.62,413.2,709.82,none,none
2011,Fast Five,Universal,78,83,Escape,Action,125,3644,23655,86.19,209.4,416.3,626.13,none,none
2011,The Smurfs,Sony,23,50,Fish Out Of Water,Animation,110,3395,10489,35.61,142.614,421.135,563.749,none,none
2011,Twilight: Breaking Dawn,Independent,26,68,Love,Romance,110,4061,34012,138.12,281.29,430.88,712.17,none,none
2009,Transformers: Revenge of the Fallen,Paramount,20,76,Revenge,Action,210,4234,25736,109,402.1,434.2,836.3,none,none
2009,Up,Disney,98,86,Journey and Return,Animation,175,3766,18085,68.1,293,438.3,731.3,Animated,Animated
2011,Mission Impossible 4,Paramount,93,86,Pursuit,Action,145,3448,8672,29.55,209.39,485.32,694.71,none,none
2011,Kung Fu Panda 2,DreamWorks Animation,82,80,Rivalry,Animation,150,3925,12142,47.66,165.249,500.443,665.692,none,none
2010,Shrek Forever After,Paramount,57,64,Journey and Return,Animation,165,4359,16251,70.8,238.74,513.864,752.604,none,none
2010,Inception,Warner Bros.,86,93,Journey and Return,Action,160,3792,16557,62.8,292.58,532.956,825.536,none,none
2009,2012,Sony,39,63,Escape,Action,200,3404,19165,65.3,166.12,603.567,769.687,none,none
2009,Harry Potter and the Half-Blood Prince,Warner Bros.,83,75,Quest,Adventure,250,4325,17997,77.8,302,632,934,none,none
2010,Toy Story 3,Disney,99,91,Rescue,Animation,200,4028,27385,110.3,415,648.16,1063.16,none,none
2010,Harry Potter and the Deathly Hallows Part 1,Warner Bros.,79,87,Quest,Adventure,125,4125,30307,125,295,664.3,959.3,none,none
2009,Ice Age: Dawn of the Dinosaurs,20th Century Fox,45,72,Quest,Animation,90,4099,10171,41.7,196.57,690.11,886.68,none,none
2010,Alice in Wonderland,Disney,52,72,Journey and Return,Adventure,200,3728,31143,116.1,334.19,691.276,1025.466,none,none
2011,Transformers: Dark of the Moon,Paramount,35,67,Quest,Action,195,4088,23937,97.85,352.39,771.4,1123.79,none,none
2011,Pirates of the Caribbean: On Stranger Tides,Disney,34,61,Quest,Action,250,4155,21697,90.15,241.071,804.64,1045.711,none,none
2011,Harry Potter and the Deathly Hallows Part 2,Warner Bros.,96,92,Rivalry,Fantasy,125,4375,38672,169.19,381.011,960.5,1341.511,none,none
2009,Avatar,20th Century Fox,83,92,Metamorphosis,Action,237,3452,22313,77,760.5,2021,2781.5,none,none
2011,Red State,Independent,57,59,Escape,Horror,4,NA,NA,NA,1.104,NA,1.104,none,none
2011,Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,5,218,3652,0.79,2.711,NA,2.711,none,none
2011,Cedar Rapids,20th Century Fox,86,61,Maturation,Comedy,10,15,20198,0.3,6.861,NA,6.861,none,none
2011,Take Me Home Tonight,Relativity Media,28,46,Discovery,Comedy,25,2003,1730,3.46,6.928,NA,6.928,none,none
2011,Our Idiot Brother,Weinstein Company,68,79,Comedy,Comedy,5,2555,2744,7.01,24.816,NA,24.816,none,none
